MAKE,MODEL,MODEL_YR,BODY_STYLE,VEHICLE_TYPE,DRIVE_TRAIN,PRODUCTION_RELEASE,VEHICLE_CLASS,BODY_FRAME,NUM_OF_SEATING,SEAT_LOC,SEAT_LOC_COMMENTS,MIN_GROSS_WEIGHT,MAX_GROSS_WEIGHT,UPPER_BELT_ANCHORAGE,UPPER_BELT_ANCHORAGE_LOC,SEAT_BELT_PRETENSIONER,SEAT_BELT_PRETENSIONER_LOC,LOAD_LIMITERS,LOAD_LIMITERS_LOC,FRNT_BELT_INDICATOR,FRNT_BELT_LOC,REAR_BELT_INDICATOR,LATCH_REAR_POSITION,HEAD_SAB,HEAD_SAB_TYPE,HEAD_SAB_LOC,HEAD_SAB_MOUNT_LOC,HEAD_SAB_MEET_REQUIREMENTS,HEAD_SAB_DEPLOY_IN_ROLLOVER,TORSO_SAB,TORSO_SAB_TYPE,TORSO_SAB_LOC,TORSO_SAB_MOUNT_LOC,KNEE_BOLSTERS,KNEE_BOLSTERS_LOC,ADL,HEAD_RESTRAINT_IND,DYNAMIC_HEAD_RESTRAINT_IND,BETI,BLIND_SPOT_DETECTION,DAY_RUN_LIGHTS,ADAPTIVE_CRUISE_CONTROL,ABS,ARS,ARS_LOC,AUTO_CRASH_NOTIFICATION,CRASH_DATA_RECORDER,ANTI_THEFT_DEVICE,ANTI_THEFT_DEVICE_TYPE,FRNT_COLLISION_WARNING,NHTSA_FRNT_COLLISION_WARNING,NHTSA_FCW_EVALUATION,LANE_DEPARTURE_WARNING,NHTSA_LANE_DEPARTURE_WARNING,NHTSA_LDW_EVALUATION,CRASH_IMMINENT_BRAKE,NHTSA_CRASH_IMMINENT_BRAKE,NHTSA_CIB_EVALUATION,DYNAMIC_BRAKE_SUPPORT,NHTSA_DYNAMIC_BRAKE_SUPPORT,NHTSA_DBS_EVALUATION,NHTSA_ESC,PELVIS_SAB,PELVIS_SAB_TYPE,PELVIS_SAB_LOC,PELVIS_SAB_MOUNT_LOC,OVERALL_STARS,FRNT_TEST_NO,FRNT_VIN,FRNT_DRIV_STARS,FRNT_PASS_STARS,FRNT_SAFETY_CONCERN_DRIV,FRNT_SAFETY_CONCERN_PASS,FRNT_FOOT_NOTES,FRNT_FOOT_NOTES_PASS,OVERALL_FRNT_STARS,CURB_WEIGHT,FRNT_TESTED_WITH,HIC15_DRIV,CHEST_DEFL_DRIV,LEFT_FEMUR_DRIV,RIGHT_FEMUR_DRIV,NIJ_DRIV,NECK_TENS_DRIV,NET_COMP_DRIV,HIC15_PASS,CHEST_DEFL_PASS,LEFT_FEMUR_PASS,RIGHT_FEMUR_PASS,NIJ_PASS,NECK_TENS_PASS,NET_COMP_PASS,SIDE_TEST_NO,SIDE_VIN,SIDE_DRIV_STARS,SIDE_PASS_STARS,SIDE_BARRIER_STAR,COMB_FRNT_STAR,COMB_REAR_STAR,SIDE_SAFETY_CONCERN_DRIV,SIDE_SAFETY_CONCERN_PASS,SIDE_FOOT_NOTES,SIDE_FOOT_NOTES_PASS,OVERALL_SIDE_STARS,SIDE_TESTED_WITH,SIDE_HIC_36_DRIV,RIB_DEFLECTION_DRIV,ABDOMEN_FORCE_DRIV,SYMPHYSIS_FORCE_DRIV,SIDE_HIC_36_PASS,PELVIC_FORCE_PASS,POLE_TEST_NO,POLE_VIN,SIDE_POLE_STARS,POLE_SAFETY_CONCERN,POLE_FOOT_NOTES,POLE_TESTED_WITH,POLE_HIC_36_DRIV,PELVIC_FORCE,ROLLOVER_POSSIBILITY,STATIC_STABI_FACTOR,TIP,ROLL_SAFETY_CONCERN,ROLL_FOOT_NOTES,ROLLOVER_STARS,NHTSA_BACKUP_CAMERA,BACKUP_CAMERA
ALFA,STELVIO,2026,SUV,MPV,AWD,1,,,5,"1,3,4,5,6",,5115,5247,,,Standard,"1,3",Standard,"1,3",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3",,,"1,3",,"1,3,4,5,6",N/A,,Standard,,,,,,,Standard,,,Standard,Standard,Test Pending,Stanard,Stanard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
ALFA,TONALE,2026,SUV,MPV,AWD,1,,,5,"1,3,4,5,6",,4784,4960,,,Standard,"1,3",Standard,"1,3",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3",,,1,,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,Standard,Standard,Test Pending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
AUDI,A3,2026,4 DR,PC,AWD,1,,,5,"1,3,4,5,6",,4387,4387,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
AUDI,A3,2026,4 DR,PC,FWD,1,,,5,"1,3,4,5,6",,4387,4387,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
AUDI,A5,2026,4 DR,PC,AWD,1,,,5,"1,3,4,5,6",,5269,5269,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
AUDI,A5,2026,4 DR,PC,FWD,1,,,5,"1,3,4,5,6",,5269,5269,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
AUDI,A6 ALLROAD,2026,SW,MPV,AWD,1,,,5,"1,3,4,5,6",,5677,5677,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Optional,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,5,10982,WAUD8AF2XKN129794,5,4,,,,,4,4028,"CURTAIN AIR BAG,FRONTAL AIR BAG,KNEE AIR BAG",196.59500,22.97900,1297.85400,1935.81200,0.30,1433.22700,283.71300,354.28000,11.89400,1172.04500,1473.82500,0.41,1013.88000,434.31500,11297,WAUD8BF2XLN072276,5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",141.30500,24.96200,787.32600,1263.97500,116.16900,1661.58600,10983,WAUD8AF2XKN129455,5,,,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",395.15200,2285.13800,0.089,1.52,No Tip,,,5,,
AUDI,A6 SEDAN,2026,4 DR,PC,AWD,1,,,5,"1,3,4,5,6",,5710,5710,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
AUDI,A8,2026,4 DR,PC,AWD,1,,,5,"1,3,4,5,6",,6140,6140,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,Standard,"1,3",,"1,3,4,5,6","1,3",,Optional,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
AUDI,Q3,2026,SUV,MPV,AWD,1,,,5,"1,3,4,5,6",,5026,5026,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,TBT,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,None,,,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,
AUDI,Q4 E-TRON,2026,SUV,MPV,AWD,1,,,5,"1,3,4,5,6",,6008,6041,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,None,,,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,5,14252,WA1J2BFZ5NP047937,5,4,,,,,4,4981,"FRONTAL AIRBAG,KNEE AIR BAG",,,,,,,,,,,,,,,14251,WA1H2BFZ4NP054134,5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,,,,,14250,WA1J2BFZ4NP052465,3,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,0.113,1.39,No Tip,,,4,,
AUDI,Q4 E-TRON,2026,SUV,MPV,RWD,1,,,5,"1,3,4,5,6",,6008,6041,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,None,,,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,,14252,WA1J2BFZ5NP047937,5,4,,,,,4,4981,"FRONTAL AIRBAG,KNEE AIR BAG",,,,,,,,,,,,,,,14251,WA1H2BFZ4NP054134,5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,,,,,14250,WA1J2BFZ4NP052465,3,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,0.113,,No Tip,,,,,
AUDI,Q4 SPORTBACK E-TRON,2026,SUV,MPV,AWD,1,,,5,"1,3,4,5,6",,6041,6041,,,Standard,"1,3,4,6",Standard,"1,3,4,6",,,,"4,6",Standard,Head Protection,"1,3,4,6",,Yes,,Standard,Torso and/or Pelvis Protection,"1,3,4,6",,None,,,"1,3,4,5,6",,,Standard,,,,,,,Standard,,,Standard,Standard,Meets Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,Standard,Standard,Does Not Meet Performance Criteria,,,,,,5,14252,WA1J2BFZ5NP047937,5,4,,,,,4,4981,"FRONTAL AIRBAG,KNEE AIR BAG",,,,,,,,,,,,,,,14251,WA1H2BFZ4NP054134,5,5,5,5,5,,,,,5,"CURTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,,,,,14250,WA1J2BFZ4NP052465,3,,,"URTAIN AIR BAG,TORSO/PELVIS AIR BAG",,,0.113,1.39,No Tip,,,4,,
